,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
39729,piney brown,how about rocking with me,1950,blues,chop garlic herbs flip linguistic pimp shit leave hand right stick shift inscription pippen baggy pant dance like bivins live good floor ceiling bath marble toilet seat heat middle night cause daddy gotta early morning flight gold frame intelligent thug prescription smoke weed addiction doctor say need condition heavy lift guess need help piss suck ball time cakey pinky game time black air hangtime age fine like montrachet wine mets ring father rock leather holster thing iron meet clients work title press thousand record maui whatchu know press vinyl jamaica get paper blow vapor stitch show niggas possed tailor motor city roll elegant nigga understand grip steer wheel like young pimp steady chop blades cardier wire frame force ones clean ball fade switch whip hop outta allterrain fours grip road rain take bauer spell inglish come shop workin,138,0.000762777,0.000762777,0.000762777,0.036841881,0.024958448,0.0477476,0.000762777,0.000762777,0.403597489,0.000762777,0.346395041,0.07933296,0.051973262,0.000762777,0.000762777,0.000762777,0.423805914,0.661231187,0.956827266,0.003137652,0.868095631,0.404385803,obscene,1
39731,the ravens,midnight blues,1950,blues,think know songs write starcrossed sell harmonies go tune time silver time blue midnight dancers spin silver moon stone romancers answer time silver time blue instrumental flute electric slide guitar time silver time blue think know songs write time silver time blue instrumental flute electric slide guitar time silver time blue,51,0.001315789,0.00131579,0.00131579,0.255484639,0.001315789,0.001315789,0.001315789,0.112703596,0.00131579,0.336664713,0.040024502,0.236701497,0.00131579,0.001315789,0.001315789,0.00131579,0.604678869,0.61997795,0.745983681,0,0.676422094,0.506491094,music,1
39732,the ravens,gotta find my baby,1950,blues,talk mother like tell right anticipate long night damn early sleepwalkin eye look like macaulay culkin watch roll city like hawkins bitch waka flock walk wanna like deal burgundy underground poppin commercially buzz like motherfuckin worker need couple want check gotta rent life suck like raven date girl dinner home great yeah long night guarantee probably sunlight eye wide shut couple buck couple drink turn like tell right anticipate long night woah grab corona pass alright alright yeah run face party crib hella grateful minute bedroom strangers talk granger run pacers mean phase know mind vacation track chasers pack crowd lamesters kick apartment square garden watch rangers central dark somebody stalk danger come crib benz mean chesire shout look like hemsworth kickin baby nword shwoop tell right anticipate long night woah grab corona pass alright alright rapper ashin hotel sink management swear hotel stink time yellin hold minute doorbell ring coke glisten nose earring niggas tryna function nigga function weed pungent probably punch import punch actin inpugnant actin turn turn turn high burn burn burn fuck fuck remember tonight fuck bathroom frosty forget sprite tell right anticipate long night woah grab corona pass alright alright,195,0.013981869,0.000457666,0.015973503,0.158377143,0.025954857,0.000457666,0.000457666,0.033494479,0.368507846,0.000457666,0.058084491,0.125238159,0.013593572,0.13985054,0.000457666,0.010810535,0.664247807,0.548983412,0.977911624,0.00012247,0.911376752,0.36334348,obscene,1
39734,the ravens,you're gonna lose your gal,1950,blues,silvertressed darlings ravenmaned delight windward get fire beat night head walk head walk head walk close warn growl cuttin struttin leatherchested head walk head walk head walk better listen distance crimson crime warpath kiss girl kiss girl kiss girl heart like diamonds story gonna lose hellbound crimson head walk head walk head walk heed wise say away head,58,0.00131579,0.42631178,0.00131579,0.00131579,0.001315789,0.001315789,0.109838359,0.00131579,0.00131579,0.00131579,0.00131579,0.00131579,0.00131579,0.135729113,0.279807235,0.001315789,0.590598939,0.541214778,0.932730856,0.003522267,0.688788129,0.330309415,violence,1
39735,ella fitzgerald,i've got a crush on you,1950,blues,hmmmmm crush guess crush sweetie night time sign notion fall emotion care cunning cottage share world pardon mush cause crush baby million ralish millionairs carish capture persistence wear resistance fell swell brave handsome shall know attractive heart grow active come view crush sweetie nighttime sigh notion fall emotion care cunning cottage share world pardon mush cause crush baby,58,0.117395487,0.001949318,0.332980876,0.076527049,0.001949318,0.001949318,0.001949318,0.137727138,0.001949318,0.001949318,0.001949318,0.001949318,0.048672686,0.001949318,0.261355632,0.001949318,0.325246399,0.554880394,0.989959829,0,0.250824402,0.095967762,world/life,1
39736,ella fitzgerald,but not for me,1950,blues,write songs star lead cloud graay russian play coud garauntee fool fall hiho alas lack dismiss memory kiss guess,19,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.098142379,0.004385965,0.004385965,0.264623976,0.004385965,0.224066442,0.004385965,0.004385965,0.347377728,0.004385965,0.377233835,0.54685537,0.989959829,1.24E-05,0.246702391,0.106078188,sadness,1
39740,ella fitzgerald,soon,1950,blues,soon lonely nights end soon hearts blend happiness wait fat soon little cottage safe care world tune come soon soon soon soon dear lonely soon live care time place climate soon little ship sail home fail world tune come soon bridge soon little ship sail home fail world tune come soon,51,0.001096491,0.001096491,0.302440829,0.001096491,0.001096491,0.067922919,0.001096491,0.001096491,0.001096491,0.495824982,0.001096491,0.001096491,0.001096491,0.001096491,0.001096491,0.001096491,0.459547276,0.580622003,0.99297188,0,0.305441055,0.082353723,music,1
39743,josh white,call me darling,1951,blues,know right know hear head childs hear loud right talk muthafucka hear fucker swoll muthafucka shell deflate know know fuck young toucan smell nigga cowards force hand real shoot make band steelo grand deal niggas baker bomb crack lick round like taliban mark vans think reign forever spoil plan hard muthafucka leave stand gatling island slaughterhouses bout get cream bitch slug crutches exclusive white mustard flow leave fluster gargle lungs staple note little tongue broadway landmark childs landmark broad daylight dark step close play like catch rib play like baby mother movies play like shit game nigga play play fucker nigga nigga turn fuck muthafucka btown nigga slaughterhouses killa blood,110,0.019908557,0.135535575,0.000809717,0.000809717,0.000809717,0.019195464,0.000809717,0.000809717,0.714064331,0.064962706,0.000809717,0.000809717,0.020263674,0.000809717,0.000809717,0.000809717,0.529946929,0.368869061,0.981927693,0.932186235,0.323990107,0.056026575,obscene,0.985714286
39749,louis prima,the bigger the figure (with keely smith),1951,blues,night night weak break chain bind need shackle remind prisoner command stand master fate escape late prisoner good care share free dream awake sleep ummm knees creep yeahyeah soul keep mjust prisonerof,32,0.00228833,0.135428043,0.00228833,0.185974779,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.131023078,0.00228833,0.469756926,0.045780558,0.664247807,0.764966797,0.700802912,1.16E-06,0.977328937,0.794788386,sadness,0.985714286
39750,louis prima,one mint julep,1951,blues,early mornin walkin woman start talkin go tavern nip mint julep mint julep cause remember start know part steal kiss mean mint julep cause light burn tavern swingin door jump father say kiss daughter right face slaughter know doin face ruin mint julep mint julep mint julep mint julep mint julep cause listen want bore trouble thinkin double roses maybe maybe tulips trouble buy juleps remember start know part mint julep mint julep mint julep mint julep mint julep mint julep cause,82,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.086656862,0.381117652,0.354856506,0.001283697,0.001283697,0.057209166,0.071884433,0.001283697,0.001283697,0.031587319,0.495288639,0.715432146,0.772088125,0,0.6784831,0.537523094,obscene,0.985714286
