,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
20290,lefty frizzell,if you've got the money i've got the time,1950,country,money time honky tonkin time night spot dance drink beer wine money time tarry start tonight spread spread right baby line money time money time honky tonkin time bring cadillac leave wreck money time honky tonkin club dark fool short money short time cause money time money time honky tonkin time night spot dance drink beer wine money time,59,0.022812803,0.001074114,0.001074114,0.352503911,0.001074114,0.001074114,0.001074114,0.001074114,0.349706293,0.001074114,0.179011985,0.080927413,0.001074114,0.001074114,0.001074114,0.001074114,0.5234485,0.655488039,0.833333166,9.52E-05,0.955688376,0.392373415,night/time,1
20292,lefty frizzell,i want to be with you always,1950,country,lose blue heart stay go sing song wanna dear near forever travel shinin guitar stay sweetheart feel want blame work wrong cause true blue,24,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.047433889,0.096522587,0.00228833,0.00228833,0.324518565,0.00228833,0.00228833,0.00228833,0.00228833,0.205662786,0.09128464,0.705404527,0.594979873,0.77710821,0.000228745,0.717642209,0.22620206,music,1
20293,lefty frizzell,how long will it take (to stop loving you),1950,country,long count star long climb mar long world stand true long stop love long water deep long mountain stand steep long world long stop love long forever time dear long true long stop love,34,0.001594896,0.001594896,0.119457971,0.360282912,0.001594896,0.001594896,0.207723317,0.001594896,0.001594896,0.001594896,0.001594896,0.115224782,0.001594896,0.001594896,0.001594896,0.001594896,0.780136467,0.583108992,0.892570173,5.15E-05,0.706306678,0.180154575,night/time,1
20297,lefty frizzell,look what thoughts will do,1950,country,think love think love look thoughts today wear crown think make world round watch thoughts future years bring tear think sure thoughts help dear think build home home think kiddies look thoughts know feel real guess appeal forget deal goodbye think blue look thoughts,44,0.001253133,0.001253133,0.308535915,0.001253133,0.001253133,0.001253133,0.098148478,0.370335622,0.001253133,0.080506711,0.086266582,0.001253133,0.001253133,0.001253133,0.001253133,0.039915964,0.716235243,0.60969669,0.734939493,0,0.703215169,0.249225802,world/life,1
20300,lefty frizzell,treasure untold,1950,country,dream eye blue love forever long dear want near girl dream tell heart little girl treasure untold kiss give life sweetest dream precious gold sweet face dear smile eye story tell heart little girl treasure untold,36,0.001697793,0.001697793,0.140713512,0.001697793,0.001697793,0.077576805,0.42810325,0.001697793,0.001697793,0.04272069,0.001697793,0.055587517,0.001697793,0.162196796,0.001697793,0.001697793,0.703238384,0.648847525,0.685742656,0,0.384789777,0.219194834,romantic,1
20302,lefty frizzell,my old pal,1950,country,songwriter rodgers think tonight wish dream time days go fill heart cheer remember nights sing sweet face place heart pal best friends place like pal yesterday original rodgers yodel wonder tonight think weary heart light sweetheart face checker life come right dream pal,43,0.001644737,0.001644737,0.406203686,0.176216123,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.097624658,0.001644737,0.001644737,0.001644737,0.001644737,0.295284479,0.001644737,0.635004874,0.642360844,0.674698469,0,0.561005771,0.175149414,world/life,1
20304,lefty frizzell,always late (with your kisses),1950,country,late kiss come arm sweet darling stay late kiss want long think know late late kiss want late kiss,19,0.039987449,0.002631579,0.002631579,0.432954256,0.002631579,0.002631579,0.380505689,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.002631579,0.773638037,0.621772684,0.845381371,0,0.559975268,0.198173156,night/time,1
20305,lefty frizzell,i love you a thousand ways,1950,country,prove days come swear true darlin think past prove days come darling true good heart apart true prove someday heart stay blue lonesome days prove thousand ways nice sweet blue prove everyday kinds ways darlin free change great change true blue days,42,0.001253133,0.001253133,0.488126019,0.001253133,0.001253133,0.001253133,0.210202619,0.001253133,0.001253133,0.120920756,0.001253133,0.001253133,0.042617067,0.027335062,0.070582466,0.025178416,0.664247807,0.674460939,0.644577956,0,0.63932399,0.312290834,world/life,1
20309,lefty frizzell,"she's gone, gone, gone",1950,country,say deceive go count guess believe cause look trouble go go go go go go cry bring faster train fly farther track lose right lose heaven warn leave leave tear grind know crawl hand knees tick clock reminder second farther,40,0.001503759,0.334008684,0.00150376,0.053306194,0.001503759,0.001503759,0.001503759,0.196158945,0.001503759,0.001503759,0.00150376,0.00150376,0.039187679,0.001503759,0.113662795,0.196065799,0.655583234,0.655949542,0.470883003,0.002004049,0.93920033,0.525510707,violence,1
20311,lefty frizzell,the long black veil,1950,country,years cold dark night kill neath light scene agree slayer look like judge say alibi speak word mean life arm best friend wife walk hill long black veil visit grave night wind wail know see know scaffold high eternity near stand crowd shed tear night cold wind moan long black veil cry bone walk hill long black veil visit grave night wind wail know see know know know,68,0.001031992,0.35535683,0.001031992,0.105565883,0.001031992,0.001031992,0.001031992,0.240328608,0.001031992,0.001031992,0.05824275,0.226058044,0.001031992,0.001031992,0.001031992,0.001031992,0.510451641,0.507832731,0.834337183,0,0.414674361,0.193167995,violence,1
20312,lefty frizzell,"give me more, more, more (of your kisses)",1950,country,date come kinda late goodnight door kiss kiss want tender kiss finally hear rooster crow tender kiss admit lose sleep stay late kiss goodnight sleep kiss want tender kiss neighbor raise know shame tender kiss neighbor block offer things wed bill yell kiss tender kiss leave door hear tender kiss,50,0.001594897,0.001594896,0.001594896,0.149386133,0.001594896,0.001594896,0.339210282,0.256376567,0.001594896,0.001594897,0.177321325,0.001594896,0.001594896,0.001594896,0.001594896,0.001594896,0.495288639,0.638925211,0.833333166,0,0.862943116,0.397378577,romantic,1
20314,lefty frizzell,lost love blues (rehearsal session),1951,country,want hear blue stay wanna tell story story blue want listen baby sing want hear blue stay somebody mean world leave leave heart misery know leave blue gonna leave blue thing think leave leave blue hadn give blue wouldn sweet gonna tell say blue right blue right say blue right blue right right right right right night time leave blue thing think leave leave blue hadn give blue wouldn sweet gonna sing blue right blue right say blue right blue right right right right right night say blue right blue right say blue right blue right right right right right night time say blue right blue right say blue right blue right right right right right right right right right right night want hear blue stay blue right,128,0.010300224,0.000414422,0.012382321,0.388787202,0.000414422,0.000414422,0.000414422,0.17982905,0.000414422,0.314347594,0.000414422,0.000414422,0.000414422,0.000414422,0.018848166,0.008477864,0.676161594,0.589544394,0.990963846,0.25708502,0.712489695,0.317295996,night/time,0.985714286
20316,lefty frizzell,i'll try,1951,country,funny run funny run run memories sweetheart today steal away promise true tell fine know run memories know regret heartache forget tell sweetheart goodbye brush teardrop walk lonely avenue fall fell think fool wishful,34,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.053650139,0.297378275,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.039884742,0.473036942,0.001879699,0.691324597,0.588775222,0.686746673,2.76E-05,0.515663644,0.166140124,sadness,0.985714286
20317,lefty frizzell,all of me loves all of you,1951,country,prove days come swear true darlin think past prove days come darling true good heart apart true prove someday heart stay blue lonesome days prove thousand ways nice sweet blue prove everyday kinds ways darlin free change great change true blue days prove thousand ways,45,0.001169591,0.001169591,0.527434912,0.001169591,0.001169591,0.001169591,0.195530944,0.001169591,0.001169591,0.112293348,0.001169591,0.001169591,0.038590624,0.02527727,0.063353384,0.02348443,0.706487599,0.657667359,0.7530118,2.17E-06,0.806265458,0.401382706,world/life,0.985714286
20323,lester flatt,no mother in this world today,1951,country,mother world mother home place mother go mother world today hand care till meet promise land shall forget mother say farewell miss world tell mother world,26,0.002024292,0.002024292,0.321756707,0.002024292,0.002024292,0.002024292,0.002024292,0.085319334,0.002024292,0.048792426,0.002024292,0.002024292,0.443745846,0.002024292,0.002024292,0.072045605,0.538611502,0.542676204,0.695782827,0.000115385,0.529060181,0.166140124,world/life,0.985714286
20326,brownie mcghee,long gone,1951,country,looka yonder redeyed captain comin long go like turkey corn long go like turkey corn long go long go long jamas long jamas captain whicher tell woods makin ninetyfo long go like turkey corn long go like turkey corn long go long go long jamas looka yonder redeyed captain comin long go like turkey corn long go like turkey corn long go long go long jamas long jamas long go like turkey corn long go like turkey corn long go long go long jamas long jamas go river know couldn cross know grab alligator think horse long go like turkey corn long go like turkey corn long go long go long jamas long jamas long go ahead long go wish luck long go farewell long go ahead long go ahead long go long long jamas,135,0.000572082,0.000572082,0.000572082,0.455585142,0.000572082,0.000572082,0.000572082,0.026808437,0.057695214,0.000572082,0.020195004,0.000572082,0.000572082,0.102003423,0.000572082,0.31863672,0.646918661,0.426710766,0.928714788,0.007419028,0.609439406,0.108080252,night/time,0.985714286
20329,lefty frizzell,i know you're lonesome (while waiting for me),1951,country,give golden ring sing play guitar long time change rearrange tie bind remain come say smile go suddenly hear know tread wing open door give golden ring sing,28,0.002024292,0.002024292,0.275284507,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.35976698,0.174234173,0.160349966,0.002024292,0.002024292,0.002024292,0.002024292,0.637171017,0.598928288,0.655622144,3.07E-05,0.394064303,0.185159737,music,0.985714286
20330,lefty frizzell,that's me without you,1951,country,stand good waste comb hair shave face lean wine tell tear grow mirror stand mirror cause heartache hide tear grow,20,0.002923977,0.52170712,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.25845479,0.002923977,0.002923977,0.002923977,0.133802736,0.042175703,0.766056536,0.556034151,0.92469872,0.001629555,0.361088211,0.140113285,violence,0.985714286
20331,lester flatt,give me the flowers (while i'm living),1951,country,world today live folks worst dead casket slip lilies hand flower live enjoy pleae till ready bury slip lilies hand world need flower kind word help flower live throw go flower,31,0.002024292,0.148909804,0.381307411,0.047405641,0.002024292,0.002024292,0.113267586,0.002024292,0.002024292,0.172912139,0.002024292,0.002024292,0.002024292,0.002024292,0.109881629,0.002024292,0.446550417,0.655821347,0.518071805,0,0.607378401,0.388369286,world/life,0.985714286
20333,lester flatt,gone home,1951,country,friends love yesterday go home go home go home songbirds sing go home go home go home join heavenly fold walk streets pure gold leave work go home go home go home life lonely go go home go home go home weep stand door sadly say go home go home trumpet sound great judgment go home go home go home friends go go home go home go home,68,0.000877193,0.000877193,0.026776201,0.000877193,0.000877193,0.000877193,0.018443787,0.000877193,0.000877193,0.450673707,0.165239415,0.000877193,0.000877193,0.000877193,0.000877193,0.326586188,0.526697715,0.625567264,0.887550088,2.22E-06,0.645507007,0.287265028,music,0.985714286
