,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
80963,boogie down productions,ghetto music,1989,hiphop,like sound hear ghetto music ghetto music ghetto music ghetto music tune easy listen sound gown crown glitter makeup smashin lyric hit advice free industry gotta grow commercial know important underground superstar like gotta question speak facts start guessin learn lesson plan career commercial underground cause side write hit admit come explain people play game wanna like wrong writin reality song touch issue talk knowledge want base cause bring racist bring pink yeah stop guess alright demonic guess alright demonic chapter book come different look look commercial underground ghetto sound music refuse rockin ghetto music people tellin need radio yeah gotta like soandso platinum attack rhyme ghetto teach ghetto change heck ghetto stay mellow effect ready fresh nineteen eightynine suckers peace jungle brothers come master start heart fall apart like dart shoot target ghetto music yeah chart cause eightynine purpose rhyme strengthen uplift mind achieve achieve achieve simple leave cause time respect lose ghetto music ghetto music ghetto music ghetto music ghetto music,163,0.000565931,0.000565931,0.055118747,0.000565931,0.047386034,0.000565931,0.000565931,0.13342563,0.125976086,0.3094353,0.000565931,0.000565931,0.058880599,0.082980351,0.063410526,0.000565931,0.926351132,0.593467169,0.001213857,1.44E-05,0.530090684,0.603591223,music,0.442857143
80964,boogie down productions,jack of spades,1989,hiphop,start heart take time heart come everybody fear crashin door whore bringin gold chain krsone see human make excuse losers chainsnatchers pimp drug abusers like gotta pushin somebody start mushin suckers claimin rule environment buyin think everybody teach buy take short cause hasn pay spade dnice scratch calm kind courageous loyal temper boil cause like whistle blow right go crime commit right tail bail thinkin bout jail end justify mean scene track movement lose cause come attack crack cocaine cop fiends heat gold chain game destroy stereotype hype crack pip like criminals crime mind come kungfu hammer slammer renegade teacher scholar gotta fall line hear rhyme cause time theme song call spade dnice scratch know spade posse wanna watch throw hand scream yeah yeahhh time yeahhh flash rhyme cool loud quiet head cause spade riot cleanin community debris crime road long scary average couldn average take piece brother gotta admit martyr soldier hero start zero battle clearly understand power payin people hour sell stand gettin everybody high high cable cash table currency able cop prop pay come spade dnice scratch break dnice scratch fresh spade suckers,186,0.000526316,0.140418711,0.000526316,0.061762813,0.023666499,0.000526316,0.000526316,0.000526316,0.531389894,0.024000688,0.113269963,0.000526316,0.000526316,0.000526316,0.069033773,0.015027618,0.971840139,0.582929518,0.010340372,2.04E-06,0.444558945,0.5004849,obscene,0.442857143
80967,boogie down productions,the style you haven't done yet,1989,hiphop,number soundlive ghetto music produce krsone widdybyebye byebye byebye widdybyebye byebye byebye come claim attain level rhymin listen lyin tryin years stop change rearrange producer touch microphone loser laugh smirk belong perform song specific style gift poetically uplift speak attack maybe rhyme statue tell people literally come rockin funky lyric better endlessly recitin poetry time street hear voice know krnope ready teach style attain widdybyebye widdybyebye widdy byebye byebye byebye widdybyebye widdy byebye widdybyebye widdy byebye byebye byebye widdybyebye plumb know krsone come sing style sing rock party gotta suckers want krsone instead japslap teacher wack like stack hit albums triplelayer cake throw face waste pick taste poet black race whip whine touch time rhyme black effect jeeeeeeesus gosh dude gosh dude crew juice crew,125,0.001012146,0.144889367,0.001012146,0.054947,0.001012146,0.001012146,0.001012146,0.079490216,0.477862099,0.191244582,0.001012146,0.001012146,0.001012146,0.001012146,0.001012146,0.001012146,0.946929492,0.610876086,0.047489004,0,0.967023908,0.589576772,obscene,0.442857143
80969,boogie down productions,gimme dat (woy),1989,hiphop,right right bring smooth alright hello whassup happenin know teacher rappin need slappin cause sayin wack weak speak sucker comin face yangyang chain gang draggin feet beat produce library teach hiphop live smidgen givin krsone encore freshman sophomore graduate school short world rappin bring single style create offbeat seat create style study single week come face like rulin teacher foolin defense common sense confidence intelligence excellence intense difference krsone mean ignorance obediance magnificence reference stop violence criminal mind poetry hat title gimme little test bust attention feel like lettin lyric steppin jettin gettin respect teacher meet number drop science teach correct catch style like treat like bite kind hungry calcan step cause time hold hand slam understand teacher professor scholar makin dollars trainer entertainer makin holla numero number best perfectionist crazy fresh gimme original original original original,137,0.000809717,0.000809717,0.092810172,0.000809717,0.000809717,0.017599721,0.000809717,0.000809717,0.572605373,0.000809717,0.000809717,0.000809717,0.093454038,0.176659101,0.000809717,0.000809717,0.676161594,0.52870292,0.000863455,0,0.774319868,0.406387867,obscene,0.442857143
80970,boogie down productions,the blueprint,1989,hiphop,blueprint musty fusty clear noncommercial bring positive people plus equal slammin lyric beat unquestionable professional guess grab album rock market strong hearted target bloo target shoot lyric reload clip bloo hit grind opponents weak crown bloo bloo title come disaster listen laughter heart capture cause lecture texture wack cause time weakness teacher speak dialect gain nuff resect money care cause boogie productions worldwide coast coast soft commercial sound ghetto cause refuse understand know copy read blueprint keepin track wack step speak wack cause pack posse stupid watch stop original copy sloppy sloppy slouch time bite yell ouch breakout lose throat hoarse lose cause dope course come years practice antislackness antiwackness throw glass teach mass simple question stomp somebody say comp thousands overseas soft leave door coat mitt cause read blueprint,130,0.000923361,0.239061486,0.052187554,0.000923361,0.000923361,0.000923361,0.000923361,0.203494676,0.316528569,0.000923361,0.000923361,0.000923361,0.000923361,0.000923361,0.035691348,0.023718872,0.951261778,0.523062329,0.019577329,4.56E-06,0.536273702,0.654643869,obscene,0.442857143
80972,boogie down productions,breath control,1989,hiphop,tell bout crew know call boogie productions steal larock krsone dnice know know know know krsone check breath control example appeal criminal mind blind open eye stop dissin prescription listen class real fast fresh gettin leave keep accept material rhyme artificially flavor like cereal like clarity come speak clear concise little slack wack slap fuck boogie productions simply cause leave radical sound mess roll fess wild guess think best turn burn rhyme immediately come boomin dope provoke walkin rope rope word lookin string sing sing bring enlightenment suckers bitin radio fightin fan likin face wipin cause mouth dirty unworthy think serve hear style universal need rehearsal beef rhyth rhymin timin climbin realize producer dope record think time break second breath control break track resume attack crew wack lack mean like play style rockin radical rebel level go know mean doom boom consume room fraction capital krsone bdbdbdbdp takin constantly deal wheel steal come kneel queen playboy wack feel understand jam krsone slam hypothetically reality takin small technicality rhyme like rhyme like come handy diss soft silly budget sucker like style need house shelf label sucker style like,187,0.000531632,0.13244432,0.000531632,0.000531632,0.000531632,0.000531632,0.000531632,0.215239388,0.408727116,0.099849878,0.096435236,0.000531632,0.000531632,0.040392844,0.000531632,0.000531632,0.8093794,0.565700074,0.006856433,2.84E-05,0.727947238,0.697688256,obscene,0.442857143
80974,einstein,the tables are turnin',1990,hiphop,share hard time niggas serve hard time involve niggas lose live hollywood pass nearly lose mind roll traffickers work maximas stretch nervous ask bitch purpose gotta search ask question decide hoe fuck shop thug thug shit turn niggas deep thug shit money fuck little nigga touch little move home fuck little feel know guess write recognize quoteable lap loneliest time survive loneliest nights think struggle time survive nickel dime bread world shoot bitch best friends talk show everybody walk party club function leave bring discussions fuck best friends talk abortions little girls hair braid porches promise share losses baby daddy pass share losses get cnotes hoppers death irish hoe deep throat yeah beef know anybody know flow miami bitch know nice entourage lock mint wonder bras club miss lap know funny table turn move forward thank lessons learn strip club step stone stage pay wasn second home somebody shit streets roll wrap late nights shit beach bring blue baby jeans shit tall body guy underneath bottle feet scream tryna club show time face think disappoint fell fell accept wouldn tell try cell lap,183,0.017988552,0.045828453,0.16080645,0.000395726,0.009408577,0.054323276,0.000395726,0.159998118,0.352036129,0.000395726,0.127937466,0.000395726,0.000395726,0.000395726,0.000395726,0.017623277,0.886277483,0.468348589,0.086946874,0.000325911,0.964962902,0.662652127,obscene,0.428571429
80975,the original squad,all the blacks,1990,hiphop,close light glow go eye good life reason go live die start walk hearts lose like wither leave fall late realize lose start walk hearts lose,26,0.002024292,0.002024292,0.141839965,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.119513692,0.002024292,0.002024292,0.598745318,0.109536652,0.776887252,0.570930441,0.015460859,1.28E-05,0.343569662,0.52250761,sadness,0.428571429
80978,asher d,bite of love,1990,hiphop,leave live watch dream turn ash hop bits go fool care live maintemant vaisje faire tout temps sera tous gens indiffèrent maintenant parti go fool care live goodbye,28,0.003289474,0.003289474,0.385645203,0.003289474,0.003289474,0.003289474,0.080422032,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.003289474,0.37873645,0.105854209,0.774721109,0.511858062,0.000222892,0,0.381698269,0.454437416,world/life,0.428571429
80979,asher d,we are the champions,1990,hiphop,shit shit shit shit shit shit shit shit shit,9,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0.905263158,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0.005263158,0.854868407,0.650898649,0.046786192,5.54E-06,0.740313273,0.696687224,obscene,0.428571429
