,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
54304,gene ammons,it's the talk of the town,1950,jazz,lovers sweethearts hard understand know happen know start strangers plan face anyplace people stop stare hard everybody know leave talk time meet heart skip beat stop speak week everybody know leave talk send invitations friends relations announce weddin friends relations give congratulations face sweetheart stay apart foolish pride like end talk face sweetheart stay apart foolish pride like end talk talk,61,0.001096491,0.001096491,0.001096491,0.001096491,0.03631599,0.001096491,0.001096491,0.460773169,0.086498293,0.001096491,0.001096491,0.001096491,0.04170651,0.001096491,0.319570493,0.001096491,0.352323189,0.620388175,0.868473764,0.23582996,0.430131904,0.282259866,sadness,1
54305,gene ammons,you go to my head,1950,jazz,head linger like haunt refrain spin round brain like bubble glass champagne head like sparkle burgundy brew mention like kicker julep thrill think think plea cast spell hold head smile make temperature rise like summer thousand july intoxicate soul eye certain heart hasn ghost crazy romance head head,48,0.001754386,0.340963946,0.001754386,0.001754386,0.001754386,0.001754386,0.131871772,0.001754386,0.001754386,0.001754386,0.001754386,0.172401985,0.001754386,0.328446507,0.001754386,0.001754386,0.379399978,0.638540625,0.907630429,0.900809717,0.221970322,0.184158704,violence,1
54307,bud powell,yesterdays,1950,jazz,music speak start hear musicians like dizzy gillespie recommend somebody music study hungrier hungrier sound electronic instrument keyboard instrument electronic pianos particularly like fender roads electric piano electric clavinet like electric clavicord string little rubber hammer string press like think sort guitar like clavinet sound wahwah thing go kinds things signal source alter sound wahwah peddle wahwah sound clavinet keyboard instrument truly keyboard instrument small synthesizer universe sound representative trillion sound grind zero preconceive ideas go play rhythmically melodically harmonically know go emerge moment moment real leader kind music focus shift music come right center room vehicles direction begin somepoint emerge explosion kind walk jazz time like,107,0.001144165,0.001144165,0.074762037,0.04617253,0.001144165,0.018788672,0.001144165,0.001654752,0.001144165,0.421733687,0.096266452,0.001144165,0.001144165,0.230954443,0.001144165,0.097081614,0.489873281,0.467399944,0.99297188,0.927125506,0.334295136,0.228204124,music,1
54311,tony bennett,stranger in paradise,1950,jazz,hand stranger paradise lose wonderland stranger paradise stand starry eye danger paradise mortals stand like face ascend common place rarest space hang suspend know care answer fervent prayer stranger paradise send dark despair hunger open arm stranger paradise tell need stranger,41,0.002105263,0.180523864,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.201965101,0.002105263,0.002105263,0.002105263,0.002105263,0.058502691,0.002105263,0.527429395,0.002105263,0.179031734,0.559469784,0.983935727,0.001781377,0.086974444,0.23521135,sadness,1
54313,dean martin,zing-a zing-a zing boom,1950,jazz,zinga zinga zinga zinga zinga zinga zinga zingboom zinga zinga zinga zinga zing boom funny keep sing zinga zinga zinga zinga zing boom memory keep ring zinga zinga zinga zinga zing boom work charm hearts cling start dance ticket romance music play dancers sway cabellero feel cupid arrow dance true heart zinga zinga boom zinga zinga zinga zinga zing boom escape music get zinga zinga zinga zinga zing boom forget let zinga zinga zinga zinga zing boom worry upset thing away blue zinga zinga zinga zinga zing boom music play dancers sway zinga zinga boom cabellero feel cupid arrow zinga zinga boom dance true zinga zinga boom heart zinga zinga boom zinga zinga boom zinga zinga zinga zinga zing boom zinga zinga zinga zinga zing boom escape music get zinga zinga zinga zinga zing boom forget let zinga zinga zinga zinga zing boom worry upset thing away blue zinga zinga boom zinga zinga boom zinga zingaboom zinga zinga boom boom,160,0.001253133,0.001253133,0.001253133,0.001253133,0.001253133,0.081125966,0.001253133,0.111950891,0.001253133,0.268737179,0.001253133,0.094921143,0.001253133,0.001253133,0.42572096,0.001253133,0.580851294,0.687408661,0.655622144,0,0.936108821,0.418400254,sadness,1
54315,dean martin,be honest with me,1950,jazz,honest dear remember dear true wander land honest poor heart break dear untrue asleep awake dear dream darling honest return dear kinda yearn dear forget dear sweet memory honest,29,0.002392344,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.577802883,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.117758779,0.047883064,0.220670106,0.002392344,0.555940648,0.635079353,0.887550088,0,0.924773289,0.322301157,romantic,1
54319,dean martin,three wishes,1950,jazz,wish simple wish wish wish days gladness sweet true second wish dream house cozy fireside wish wish wish days gladness sweet true second wish dream house cozy fireside wish,29,0.002192982,0.002192983,0.274581615,0.002192983,0.002192982,0.002192982,0.153703547,0.002192983,0.002192983,0.002192983,0.104936602,0.002192982,0.002192982,0.002192983,0.4338835,0.002192982,0.281923535,0.492269825,0.989959829,0.00027834,0.134377576,0.056927504,sadness,1
54321,dean martin,just for fun,1950,jazz,softly sigh close maybe agree hand magic land seek constantly tingle tingle mingle pretend begin play stay try tingle tingle mingle pretend begin play stay try,26,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.003095976,0.074609194,0.003095975,0.003095976,0.003095975,0.208936861,0.070528041,0.003095975,0.599486274,0.003095975,0.307917253,0.468271671,0.964859402,0.00045749,0.266281946,0.109081285,sadness,1
54324,dean martin,absence makes the heart grow fonder (for somebody else),1950,jazz,leave know grieve remember absence make heart grow fonder somebody dearly sincerely remember absence make heart grow fonder somebody away mice play blue away fretful forgetful remember absence make heart grow fonder somebody away mice play blue away fretful forgetful remember absence make heart grow fonder somebody somebody,48,0.001644737,0.001644737,0.294424965,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.148253216,0.001644737,0.001644737,0.001644737,0.001644737,0.350568879,0.182081887,0.177948662,0.537856062,0.936746924,0.255060729,0.168384171,0.122094704,sadness,1
54329,dean martin,"vieni su (say you love me, too)",1950,jazz,vieni vieni vieni come years long wait vieni vieni long wait vieni vieni,13,0.114679394,0.007518797,0.170186454,0.594833399,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.224520741,0.400225624,0.976907607,0.610323887,0.180750206,0.040710781,night/time,1
54330,dean martin,the money song,1950,jazz,need need shame funny funny funny money need stick like glue funny funny funny money confess money happiness poor doubt miserable spend wiser save miser want cuckoo funny funny funny money money shut sing sing like like want sing sing sure right need badly folks gladly need nut funny funny funny money frighten internal revenoooooooo funny funny funny money bird sing eat wind wing ideal live folks affirm suppose woman thing germs sanitary thank funny funny funny money mumble jumble need need need need want shame funny funny funny money need need stick like glue funny funny funny money money money funny funny funny,104,0.000619195,0.000619195,0.042723323,0.000619195,0.111143947,0.031532024,0.000619195,0.148335183,0.51008509,0.104985306,0.000619195,0.01460941,0.000619195,0.000619195,0.000619195,0.000619195,0.682660024,0.619619004,0.945783078,0,0.723825227,0.250226834,obscene,1
