artist_name,track_name,Song,lyrics,SongNum,release_date,genre
...AAAARRGHH,aaaarrghh,_Gecenin_G__lgesi,"Kara bulutlar sardГ„В± yine dГѓВјnyamГ„В±, KГ„В±Г…Вџ yerleГ…Вџti ruhuma, GГѓВјneГ…Вџ asГ„В±lГ„В±ysa da gГѓВ¶kyГѓВјzГѓВјnde, RГѓВјzgarlar dondurdu kalbimi, , Ay ve yГ„В±ldГ„В±zlar bir yana, KaranlГ„В±k bile ГѓВ§ekip gitti, ГѓВ–lГѓВјm kokan bir mezara, YalnГ„В±zlГ„В±k gГѓВ¶mdГѓВј beni, , ",1,0,metal
...AAAARRGHH,aaaarrghh,_Son___afak,"Dolunay parlak gГѓВ¶rГѓВјnmГѓВјyor bu gece, Benim toprak dolu kГѓВ¶r gГѓВ¶zlerime, Son Г…ВџafaГ„ВџГ„В±n sГѓВ¶kmesini beklerken, KaranlГ„В±klar geceden taГ…ВџГ„В±yorlar yine, , Ruhumu yalnГ„В±zlГ„В±kla dolduruyorlar, Bedenim titriyor soГ„Вџuk gecede, KayalГ„В±klarГ„В±n ГѓВјzerinde oturup, Kendimi dalgalarГ„В±n sesine verirken, , Uzaklardan rГѓВјzgarГ„В±n Г…ВџarkГ„В±sГ„В± geliyor, Belki de Г…Вџu yalnГ„В±z ufuklardan, MezarГ„В±mГ„В±n yanГ„В±nda durup, Kendimi geceye teslim ederken, , ",2,0,metal
...AAAARRGHH,aaaarrghh,_F__rt__na_Yakla__yyor...,"Ay Г„В±Г…ВџГ„В±Г„ВџГ„В±nГ„В±n altГ„В±nda, YalnГ„В±z bir ruh dolaГ…ВџГ„В±r, SoГ„Вџuk ormanlarda, HГ„В±Г…ВџГ„В±rdayan aГ„ВџaГѓВ§lar arasГ„В±nda, , Donuk gГѓВ¶kyГѓВјzГѓВјnГѓВјn altГ„В±nda, KayГ„В±p bir ruh dolaГ…ВџГ„В±r, Sessizce aГ„Вџlar, Sinsi karanlГ„В±klara, , MezarlarГ„В±n arasГ„В±nda, Bedensiz bir ruh dolaГ…ВџГ„В±r, LanetlenmiГ…Вџ, Cehennem alevleriyle yanar, , YoГ„Вџun sis arasГ„В±nda, Kimsesiz bir ruh dolaГ…ВџГ„В±r, Her  an biraz daha ГѓВ¶len, Buz tutmuГ…Вџ gГѓВјneГ…Вџin gГѓВ¶lgesinde, , SoГ„Вџuk rГѓВјzgarlarГ„В±n arasГ„В±nda, Hayal kuran bir ruh dolaГ…ВџГ„В±r, KarlГ„В± daГ„Вџlarda, Sonsuz patikalarda, , HapsedilmiГ…Вџ bir ruh dolaГ…ВџГ„В±r, Ebedi buzulun ortasГ„В±nda..., , ",3,0,metal
...AAAARRGHH,aaaarrghh,_Ebedi_Buzulun_Ortas__nda,"Ay Г„В±Г…ВџГ„В±Г„ВџГ„В±nГ„В±n altГ„В±nda, YalnГ„В±z bir ruh dolaГ…ВџГ„В±r, SoГ„Вџuk ormanlarda, HГ„В±Г…ВџГ„В±rdayan aГ„ВџaГѓВ§lar arasГ„В±nda, , Donuk gГѓВ¶kyГѓВјzГѓВјnГѓВјn altГ„В±nda, KayГ„В±p bir ruh dolaГ…ВџГ„В±r, Sessizce aГ„Вџlar, Sinsi karanlГ„В±klara, , MezarlarГ„В±n arasГ„В±nda, Bedensiz bir ruh dolaГ…ВџГ„В±r, LanetlenmiГ…Вџ, Cehennem alevleriyle yanar, , YoГ„Вџun sis arasГ„В±nda, Kimsesiz bir ruh dolaГ…ВџГ„В±r, Her  an biraz daha ГѓВ¶len, Buz tutmuГ…Вџ gГѓВјneГ…Вџin gГѓВ¶lgesinde, , SoГ„Вџuk rГѓВјzgarlarГ„В±n arasГ„В±nda, Hayal kuran bir ruh dolaГ…ВџГ„В±r, KarlГ„В± daГ„Вџlarda, Sonsuz patikalarda, , HapsedilmiГ…Вџ bir ruh dolaГ…ВџГ„В±r, Ebedi buzulun ortasГ„В±nda..., , ",4,0,metal
...AAAARRGHH,aaaarrghh,_Lanetli_Diyarlar,"YГѓВјrГѓВјyorum yalnГ„В±z baГ…ВџГ„В±ma, Nereye gittiГ„Вџini bilmediГ„Вџim bir patikada, UlaГ…ВџamГ„В±yorum Г„В±Г…ВџГ„В±Г„Вџa, GГѓВјneГ…Вџ hiГѓВ§ doГ„ВџmayГ„В±nca, UnutulmuГ…Вџ diyarlarda..., , ГѓВњГ…ВџГѓВјyorum soГ„Вџukta, BambaГ…Вџka bir kГ„В±Г…ВџГ„В±n ortasГ„В±nda, Yolumu bulamГ„В±yorum bu ormanda, Bembeyaz aГ„ВџaГѓВ§lar altГ„В±nda, KaybolmuГ…Вџ diyarlarda..., , HaykГ„В±rГ„В±yorum sonsuzluГ„Вџa, EГ„Вџer beni duyarsa, ГѓВ–lГѓВјyorum yavaГ…ВџГѓВ§a, Nerede olduГ„Вџunu bilmediГ„Вџim bir mezarda, LanetlenmiГ…Вџ diyarlarda..., , , , , ",5,0,metal
...AND OCEANS,...And Oceans Vs. Bloodthorn WAR Vol. I,...Ja Kylma Vesi Nuolee Oksaa,"Open the white doors, To the field of thoughts, Where no light dances, Through the 6 panes (white pain), , Sanat muodostuvat ajatusten galleriassa, Tieto on valtaa opettajien holvissa, , En skГѓВ¤rm av myror som ingen noterar, Ljud fran lador... i luften roterar, , VГѓВ¤ggen av tunn rГѓВ¶k sugs ut, Ensam i en silvervГѓВ¤rld, Den sista duvan flГѓВ¶gt till slut, Bland snГѓВ¶flingor i vind, , ",1,1998,metal
...AND OCEANS,...And Oceans Vs. Bloodthorn WAR Vol. I,100 Meters Final,"Etsin nutta pelkoa, syvyytta, Mutta en ainoastaan yksinaisyytta, Enka kasvien kosteutta, Vaan lehtien knivaa rapeutta, , Tuliset aallot kenossani, Nuolevat rutikuivaa ihoani, , Inferno, the colourful symphony, The red stream of ecstasy, Face the mask's horror, The millennium of broken mirrors, , Painajaismaisen sairaat aanet, Kehoni lapi kylmat vareet, , Karsimyksien vaaleat kadet, Nusien polkujet, , Into spheres and new dimensions, The concrete side of meditation, Teleported to a higher level, This is the 100 meter final, , En gloria av demoner, Kring operans smartsamma passion, Kaos ar en klenod, Valkommen till (O) tidsperiod, , ",2,1998,metal
...AND OCEANS,...And Oceans Vs. Bloodthorn WAR Vol. I,Flesh,"[GGFH cover], , ",3,1998,metal
...AND OCEANS,...And Oceans Vs. Bloodthorn WAR Vol. I,Breeding The Evil Inside,"[Originally performed by Bloodthorn], , Drops of new gleaming, In the flesh new morning light, My body cold and trembling, I've left the safety of the night, I sit here on the ground, By my side there lies a knife, I was her fault, I'm not to blame, I have to take her life, My tear-wet eyes won't focus, And neither will my head, I just sit here in the silence, Nothing lives here - all is dead, These feelings born inside, A new side of me is born, For ever face I see, I feel such raging scorn, When you took my life away, It gave you a new vision, I planted a seed, It gave you a mission, From beside the lifeless flesh, I pick up my bloody knife, I wander into a new day, Prepared to take another life, , , , ",4,1998,metal
...AND OCEANS,A.M.G.O.D.,Intelligence Is Sexy,"Electro eroticism, Intelligence is sexy, Electro eroticism, Intelligence is sexy, , Electric God, Sonic Fraud, Organic Cloud, Erotic Flood, , Electro eroticism, Intelligence is sexy, Electro eroticism, Intelligence is sexy, , Stuck in a junction of transparent corridors, Multifarious structures and intricated patterns, Lost in a jungle between indexes, A paradian of systematic metroplex, , Synchronize, Sensitize, Stigmatize, , Electric God, Sonic Fraud, Organic Cloud, Erotic Flood, , Electro eroticism, Intelligence is sexy, Electro eroticism, Intelligence is sexy, , ",1,2001,metal
