,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
0,mukesh,mohabbat bhi jhoothi,1950,pop,hold time feel break feel untrue convince speak voice tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little turn dust play house ruin run leave save like chase train late late tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little run leave save like chase train know late late play break string feel heart want feel tell real truth hurt lie worse anymore little know little hold time feel,95,0.000598086,0.063746128,0.000598086,0.000598086,0.000598086,0.048857015,0.017104339,0.263750881,0.000598086,0.039288366,0.000598086,0.000598086,0.000598086,0.000598086,0.380298895,0.117175451,0.357738547,0.454118914,0.997991966,0.901821862,0.33944765,0.137110188,sadness,1
4,frankie laine,i believe,1950,pop,believe drop rain fall grow believe darkest night candle glow believe go astray come believe believe believe smallest prayer hear believe great hear word time hear bear baby touch leaf believe believe believe lord heaven guide sin hide believe calvary die pierce believe death rise meet heaven loud amen know believe,51,0.035537134,0.096776742,0.443435174,0.001283697,0.001283697,0.027007477,0.001283697,0.001283697,0.001283697,0.118033841,0.001283697,0.212681067,0.051124199,0.001283697,0.001283697,0.001283697,0.331744828,0.647539933,0.954819232,1.53E-06,0.32502061,0.263240253,world/life,1
6,johnnie ray,cry,1950,pop,sweetheart send letter goodbye secret feel better wake dream think real false emotions feel heartaches hang long blue get bluer song remember cloudy hair,24,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.158564466,0.25066791,0.002770083,0.323794052,0.002770083,0.002770083,0.002770083,0.002770084,0.002770083,0.225422323,0.456298061,0.585288311,0.840361286,0,0.351813685,0.139112253,music,1
10,pérez prado,patricia,1950,pop,kiss lips want stroll charm mambo chacha meringue heaven arm japan brag geisha care long uncle eye starry sort gleam like million dollar dream come true everybody wish steal heart away guess try eye starry sort gleam like million dollar dream come true kiss lips want stroll charm japan brag geisha care long uncle,54,0.048249124,0.001547988,0.001547988,0.001547988,0.021500355,0.001547988,0.411535825,0.001547988,0.001547988,0.001547988,0.129249785,0.001547988,0.001547988,0.08113176,0.225889484,0.001547988,0.68699231,0.744404277,0.083934823,0.199392713,0.775350371,0.74373574,romantic,1
12,giorgos papadopoulos,apopse eida oneiro,1950,pop,till darling till matter know till dream live apart know hearts till world free oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till,48,0.001349528,0.001349528,0.417772273,0.001349528,0.001349528,0.001349528,0.463430095,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.029754565,0.001349528,0.068800152,0.001349528,0.291671179,0.646488732,0.97590359,0.000245951,0.597073372,0.39437548,romantic,1
14,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,convoy light dead ahead merchantmen trump diesels hammer oily kill grind knuckle white eye alight slam hatch deadly night cunning chicken lair hound hell devil care run silent run deep final prayer warriors secret sleep merchantman nightmare silent death lie wait run silent run deep sink final sleep chill hearts fight open ocean wonder lethal silver fish boat shiver cast millions play killer victim fool obey order rehearse lifeboat shatter hull tear black smell burn jones eye watch crosswire tube ready medal chest weeks dead like rest run silent run deep final prayer warriors secret sleep merchantman nightmare,98,0.001052632,0.420684666,0.001052632,0.074078284,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.172173126,0.001052632,0.001052632,0.128291826,0.001052632,0.689158453,0.685588288,0.898594276,0,0.768136851,0.549535481,violence,1
15,freestyle,opm medley: when i met you,1950,pop,piece mindin world knowin life come bring give world know give reason feelin give mean life go exist begin touch hair look eye know know good sure endure light world care away ache give reason feelin give mean life go exist begin bakit ganyan bakit ganyan ibig lagi kang pagmasdan umula umaraw hindi pagsasawaan iyong katangian damdamin ibangiba kapag kapiling sinta bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala bakit ganyan kung minsan nauutal kaba kapag kausap ngunit lumalakas loob kung ikaw nakatawa bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala think inlove feel restless inside want want thoughts night mind think think think single single night single moment life want spend think think think tell care tell tell feel word explain happen fast exactly feel right know long madness cause think think think single single night single moment life want spend think think think tell care tell tell feel medley give reason feelin give mean life go exist begin give reason feelin give mean life go exist begin think inlove,179,0.000482859,0.000482859,0.371816705,0.040711966,0.000482859,0.000482859,0.000482859,0.38470282,0.000482859,0.000482859,0.000482859,0.044354671,0.000482859,0.000482859,0.000482859,0.123149877,0.368569262,0.633694844,0.435742405,0,0.282769992,0.486470448,world/life,1
17,johnny mathis,it's not for me to say,1950,pop,care moment hold fast press lips dream heaven speak share glow grow pass meet break speak share glow grow pass meet,21,0.002506266,0.002506266,0.336056482,0.002506266,0.002506266,0.002506266,0.176860811,0.002506266,0.002506266,0.002506266,0.002506266,0.386886619,0.002506266,0.002506266,0.062602102,0.002506266,0.379399978,0.529420814,0.925702737,7.20E-05,0.373454246,0.192166963,world/life,1
20,stélios kazantzídis,klapse me mana klapse me,1950,pop,lonely night surround power read mind hour night kiss lips hold tight unending real begin lonely night surround know certain flirtin night kiss lips hold tight baby maybe baby maybe,30,0.083537203,0.002024292,0.002024292,0.248272791,0.002024292,0.002024291,0.401801107,0.167783298,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.031599678,0.49637171,0.666179525,0.974899573,1.44E-05,0.621805441,0.400381674,romantic,1
23,stélios kazantzídis,finito la mouzika,1950,pop,tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game half awhile half game word mouth swallow speak awhile word mouth game offer lose say mean right look size right tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game offer lose say mean right look size,61,0.001119821,0.102547834,0.001119821,0.053943789,0.001119821,0.001119821,0.001119821,0.091571944,0.001119821,0.001119821,0.10575159,0.001119821,0.001119821,0.001119821,0.63050735,0.001119821,0.662081664,0.643130016,0.983935727,0.000175101,0.744435284,0.413395093,sadness,1
28,liva weel,"drømmer man om den, vågner..",1951,pop,better sail midnight better dive pearl better ski aspen better feed squirrels better find horseshoe better lose head better think better say better sing right loud spot crowd better know better set dizzy better count basie band better coltrane better stand better better latest news better evans ballads better williams blue better hear lady check monterey better know better desi better route better kildare better quiz show fix better sing better hitchcock karloff flick switch better movies late night watch fight better circus elephants dance clown parade better peanuts popcorn fresh lemonade better rid midway better seal blow horn better shoot cannon better fresh ears corn better balance wire watch tigers leap better,113,0.017089721,0.026486407,0.000773994,0.000773994,0.000773994,0.000773994,0.000773994,0.079664557,0.720556515,0.080987648,0.000773994,0.065153233,0.000773994,0.000773994,0.000773994,0.000773994,0.62525723,0.533112837,0.972891539,0.017004049,0.691879637,0.340319738,obscene,0.985714286
32,the chordettes,carolina moon,1951,pop,moon shin shin wait moon pin pin place long hop tonight right window scatter light alright tell blue lonely dreamy moon shin wait pin place long hop tonight right window scatter light alright tell blue lonely dreamy moon,38,0.001644737,0.001644737,0.001644737,0.39749045,0.001644737,0.001644737,0.001644737,0.066201212,0.001644737,0.093699015,0.001644737,0.41793827,0.001644737,0.001644737,0.001644737,0.001644737,0.265677461,0.622259826,0.988955812,0,0.058738664,0.111083349,night/time,0.985714286
