,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
63234,prince buster,just you,1963,reggae,moments warmth devour kick hours miss bellefleur wanna cuddle mistake toddler gotta puddle separate worlds create vivid parallax different habitats circle round like labrat opposites attract mudcakes porcelain plat natural intimacy watch knees shake bust bust repeat bake baby need patiently adventurous place dangerous instantly favourite endless bucketlists hella spot skate tick vacation sweeter fragrance acquire knowledge baby teacher dnms bleacher nature feature learn cover go treat goals college know keeper refrain moments warmth devour kick hours miss bellefleur outro bellefleur live bellefleur live,84,0.12555536,0.001644737,0.254933111,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.478429547,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.089916978,0.692407668,0.673922519,0.027609465,0.656882591,0.682605111,0.582569546,obscene,0.814285714
63239,prince buster,they got to come,1963,reggae,pick lick bounce right hard dead hard dead pick lick bounce right hard dead hard dead life ninetynine life cause pick lick bounce right hard dead hard dead boil chocolate fry fish catch quart say wait night come time hear dead dead black eye head dead procession lead cemetery howl bury pick lick bounce right hard dead hard dead hard dead instrumental interlude boil chocolate fry fish catch quart say wait night come time hear dead dead black eye head head goin cemetery holla howl bury drop hard dead hard dead pick lick bounce right hard dead hard dead pick lick bounce right hard dead hard dead hard dead,109,0.000649773,0.543223974,0.000649773,0.152270788,0.000649773,0.200123492,0.000649773,0.000649773,0.000649773,0.000649773,0.094635157,0.000649773,0.000649773,0.000649773,0.000649773,0.000649773,0.845120762,0.709355691,0.649598042,0.004989879,0.921681781,0.61560361,violence,0.814285714
63240,owen gray,next door neighbour,1964,reggae,tightrope fall time look graceful dance life know outcome wire suffer settle look perfect reign silent days display shame hurt stand suffer settle suffer settle suffer settle place mantle shower praise feel important dig grave suck lemons laugh stage suffer settle suffer settle suffer settle suffer settle hate settle backseat brother tryin undercover tell change ways cheerleader deceit practise leave amaze mean phrase door neighbor girl favor phase work friends go past end think work friends go past end think work friends go past end think work friends go past end think hate,93,0.000862813,0.042394703,0.375311947,0.000862813,0.000862813,0.082263138,0.000862813,0.362264913,0.000862813,0.000862813,0.000862813,0.03037836,0.000862813,0.03034893,0.000862813,0.066684255,0.715152172,0.654077891,0.316264374,0,0.952596867,0.542528255,world/life,0.8
63242,bob marley & the wailers,simmer down,1964,reggae,truth truth help blackwell nassau bahamas drink blood fowl glass studio compass point help truth invite jamaica open studio go event eye seriously say truth long live offer fresh fowl blood say stud drink blood solid root truth fear gear drink blood blackwell vampire speak truth electric lawyer vampire speak truth electric wire secretary witch claim high priestess believe cult voodoo obeah tell truth international news jews international news blue blackwell vampire suck blood sufferer kill away royalty kill penalize wailers blackwell vampire suck blood sufferer vampire suck blood sufferer blackwell kill away royalty speak truth work mafias blackwell nassau drink blood chicken glass heart offer drink say deal schism clean root clean truth clean youth drink blood blackwell come jamaica want sign artists want control jamaican music black music promote white artists jahovia rastafari work jerk simmer lickin cool temper blackwell cool heart walk step judgment babylon judgment babylon human right declaration land universally earth wind earth wind blackwell vampire suck blood sufferer columbus blackwell vampire suck blood sufferer give cancer couldn youngster,174,0.000611995,0.575482599,0.008321932,0.000611995,0.000611995,0.036443554,0.000611995,0.000611995,0.000611995,0.051386696,0.231830496,0.000611995,0.000611995,0.000611995,0.062386832,0.000611995,0.775804181,0.73402046,0.148593523,0.045748988,0.986603462,0.670660385,violence,0.8
63244,prince buster,i got a pain,1964,reggae,okay change direction flex message yeah message fuck squad respect drive real slow lose direction baby grab fuck wheel dance magic pill yeah shit matter shit matter shit matter shit matter shit matter shit matter stash hundreds safe shrimp tempor plate rappers bitch complain shit matter stay board plane shit matter bitch wetter pool everybody cool smartest shit woah spark booth chunk deuce room dude prove niggas hatin cause pocket kind clout partner envy chip matter sorry young niggas fame cocky peanut butter fuckin immigrant heaven send girl safari niggas rockin preme rockin pucci niggas team army sign deal roster touch trilli eat partner yeah mix henny panties take bring say take bitch safari party leave nigga feel like safaree brain hunger pain go plate niggas hesitate share crumb shit matter shit matter shit matter shit matter shit matter shit matter okay change direction flex message yeah message fuck squad respect drive real slow lose direction baby grab fuck wheel dance magic pill yeah,164,0.023297513,0.000506073,0.077018665,0.000506073,0.055715058,0.000506073,0.000506073,0.0899004,0.633893404,0.000506073,0.061717451,0.036297426,0.000506073,0.016593282,0.000506073,0.000506073,0.814794758,0.598697536,0.567268642,0.045647773,0.967023908,0.52250761,obscene,0.8
63245,eric morris,sammy dead,1964,reggae,plant piece corn gully kill poor dead dead dead dead dead dead anuh thief theif kill anuh thief theif kill grudgeful grudgeful kill grudgeful grudgeful kill plant piece corn gully kill poor dead dead dead dead dead dead anuh thief theif kill anuh thief theif kill grudgeful grudgeful kill grudgeful grudgeful kill,52,0.001949318,0.964912277,0.001949318,0.001949318,0.001949318,0.001949322,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.845120762,0.794272235,0.598393171,2.96E-05,0.979389942,0.810804902,violence,0.8
63247,prince buster,lucky 7,1964,reggae,order notice favorite greatest purely base taste bada knight late knight special atlonglastaap logic incredible true story pusha push darkest prelude pimp butterfly underachievers evermore duality read late neighbor songs staple summertime dizzy grow process miller good junglepussy pregnant success statik selektah game documentary dark paradise bodega bamz sidewalk exec denzel curry zelplanet shrooms killah priest planet gods raury need days skizzy mar balloon project befor time honorary mention raekwon international luxurious,72,0.002923977,0.246082751,0.357233979,0.154412387,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.141668242,0.002923977,0.002923977,0.002923977,0.002923977,0.002923977,0.059666966,0.918769631,0.860446632,0.697790861,0.236842105,0.967023908,0.794788386,world/life,0.8
63249,don drummond,coolie boy,1965,reggae,getit ifyall bitch want dont care thats woman basic bitch leavin comment feelin like green feelin like pimp somethin puttin hole corner pimpin somethin bedda cool game jack jumpin pharrell thang scenes frontin yayo pumpin piston guard talkin imma drummond jews droppin wrist second hitler comin think somethin imma need couple stention cord pluggin breakfast shell couple dozen scoop bitch like eazy rider cube like easy story action figgaz nigga buzzin bakin dont oven treat somethin like kegger tell chuggin spyder bitch pasenger neva buggin download lyft uber inta fuckin eye thuggin thats cuffin nothin tuff talkin pokerface know bluffin ridin hood tell huff puffin embombin fludin look like stuff temptation ruffin fake blowin kiss huggin migos pressin buddens prolly lean robotiussin ahhh shoutout cousins feel like bumblebee buzzin fuck date treat like nothin snap shit mite public rappin chick deal bitch studdin cent buck banksgots thems unit money move care maneuver ride like people movers niggas bout shit nigga manure treat like roblox bring block set roadblocks dont stop oven stave ohhhhhh treat like roblox block dont wanna slide slide wanna nigga bless nigga choo choo roblox lamborghini ride,190,0.000657895,0.000657895,0.000657895,0.000657895,0.000657895,0.000657895,0.024168332,0.045150105,0.685986764,0.000657895,0.028342724,0.000657895,0.000657895,0.159248999,0.000657895,0.000657895,0.750893534,0.705663667,0.221886769,0.66902834,0.886644683,0.669659353,obscene,0.785714286
63255,the ethiopians,long time now,1966,reggae,long long time mind girl long long time goodnight long long time hold tight girl long long time come home somebody know break heart say long long time mind girl long long time nice time girl long time face face girl long time hold round waist girl long time long time long time long time somebody know break heart say long long time mind girl long long time nice time girl long time face face girl long time hold round waist girl long time nice time girl long time whoa whoa,91,0.000591366,0.000591366,0.000591366,0.584804388,0.024629005,0.000591366,0.044133298,0.000591366,0.000591366,0.000591366,0.060096019,0.000591366,0.000591366,0.203159495,0.052646468,0.023434934,0.715152172,0.557880163,0.743975647,1.42E-06,0.897980214,0.256233027,night/time,0.771428571
63257,the ethiopians,engine 54,1966,reggae,beep beeeepshh beep beeeepshh engine fiftyfour engine fiftyfour engine fiftyfour engine fiftyfour beep beeeepshh beep beeeepshh leave leave spanish walk montego walk montego say people countryside rely engine fiftyfour engine engine fiftyfour beep beeeepshh beep beeeepshh leave portland portland engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour engine engine fiftyfour,69,0.006578948,0.006578947,0.006578947,0.006578947,0.006578947,0.006578948,0.006578947,0.006578948,0.006578947,0.006578947,0.154467648,0.006578947,0.133691616,0.006578947,0.606577577,0.006578947,0.847286906,0.649001359,0.417670098,0.000598178,0.694971146,0.384365157,sadness,0.771428571
