,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
70345,ronnie self,big fool,1955,rock,fool fool tell love walk fool fool drivin crazy doin give lovin know wasn true doin walkin talkin like fool fool fool fool fool fool fool tell love walk fool fool drivin crazy doin give lovin know wasn true doin walkin talkin like fool fool fool fool fool fool fool yeah fool fool fool,54,0.05925621,0.000993049,0.000993049,0.000993049,0.01999209,0.000993049,0.055250094,0.216588106,0.238041406,0.000993049,0.000993049,0.000993049,0.000993049,0.000993049,0.397962462,0.000993049,0.66641395,0.756864857,0.764055988,7.30E-06,0.956718879,0.720711998,sadness,0.928571429
70347,ronnie self,bop-a-lena,1955,rock,gogalgo bopalena bopalena bopalena bopalena yeah gogalgo school bell ringin everybody go goin shag gonna shake bopalena lookin like wild freek juvenile get agoin real cool chick like pogostick bopalena bopalena bopalena bopalena yeah gogalgo patternleather shoe hounddog feet bopalena gonna walk beat jukebox bebop shag agoin gonna ball bopalena feet talk look camelwalk bopalena bopalena bopalena bopalena yeah gogalgo,60,0.001949318,0.001949318,0.001949318,0.001949318,0.143112718,0.001949318,0.001949318,0.001949318,0.377702923,0.001949318,0.336884163,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.587349724,0.85293439,0.604417274,0.006346154,0.968054411,0.941940129,obscene,0.928571429
70351,frankie laine,i heard the angels singing,1956,rock,hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem great heaven shine earth shepherd come arunnin savior birth little baby wrap swaddle clothe lay great doze bear bear bear bethlehem hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem hear angels sing come sing come sing come hear angels sing come sing come lordy lordy come great come bethlehem wise come heavenly choir sing come little baby wrap swaddle clothe lay great doze bear bear bear bethlehem hear angels sing come,123,0.301732195,0.000531632,0.000531632,0.000531632,0.000531632,0.039964408,0.000531632,0.000531632,0.000531632,0.391917288,0.000531632,0.065270506,0.193672754,0.000531632,0.000531632,0.000531632,0.650167876,0.648078353,0.758031886,0,0.930956307,0.508493158,music,0.914285714
70352,frankie laine,i feel like my time ain't long,1956,rock,bridge look idols think niggas gods right hand bible life ammunition bullets rifle daydreamin bout ring takin title feelin cause heart sayin confidence inflate workin hard praise degrade lose maze rhyme lookin outdated advice feelin like gotta stick basics know best square plan spot chain fresh drop present recognizin presence mixtapes message listenin strangers support craft time gas dough cause payin bill real come home seed need time need meals like daddy spit real stag deal pride cause business divine curse groupies define thirst like jevon kearse raid hate pantyline worshippin picturin contract write cursive radio bumpin shit people person scream endorsements face screen chasin dream chasin dream come time imma spend guarantee nigga nothin infinite rappers gods limit runnin pass imma catch finish bullshit past stay focus present move definites yall strike guessin feel like villain essence cause yall struggle yall pain song topics gain shit lie expect fail nigga jail cock lock microphone spit like hell javelin discus throwin shit business want better whip free time wish list dismiss message kickin quit announce movin quick bounce newest song step handle pride holdin vision motivation inside grind long livin takin time mind tellin watch say time game bridge,199,0.000515996,0.073148899,0.049564046,0.080016246,0.000515996,0.015601353,0.000515996,0.000515996,0.602986686,0.060943744,0.000515996,0.000515996,0.023646744,0.000515996,0.088416327,0.000515996,0.596014297,0.632412891,0.759035903,0,0.73928277,0.460443609,obscene,0.914285714
70354,bill haley & his comets,jamaica d.j.,1956,rock,montego work work bother like kind work call spin record play request roll like best tourist leave ship expect sound cat play roll long montego jockey play song like play quick rock kick montego work work bother like kind work call spin record play request roll like best tourist leave ship expect sound cat play roll long call spin record play request roll like best,65,0.001031992,0.001031992,0.001031992,0.001031992,0.001031992,0.118715616,0.001031992,0.001031992,0.195952155,0.342655649,0.001031992,0.001031992,0.001031992,0.147545071,0.001031992,0.001031992,0.745478176,0.690280235,0.712851117,3.94E-06,0.863973619,0.833828644,music,0.914285714
70357,pat boone,forgive me,1956,rock,hang picture fool fame fool fame fool fame belong cause wrong let let world fool fame fool fame fool fame stop turn away love love love break truest heart beneath biggest fool till forgive spend lifetime shame fool fame,39,0.001754386,0.001754386,0.100109222,0.001754386,0.001754386,0.001754386,0.136462537,0.001754386,0.001754386,0.001754386,0.001754386,0.044757311,0.001754386,0.001754386,0.657131637,0.001754386,0.262428247,0.474245571,0.901606327,3.85E-06,0.297197032,0.105077156,sadness,0.914285714
70359,the platters,take me in your arms,1956,rock,arm away arm thrill caress yesterday hungry heart hour gladness know past moment madness hold fast blind charm stardust goodbye hour gladness know past moment madness hold fast blind charm stardust goodbye,32,0.002192982,0.002192983,0.326799809,0.002192983,0.002192983,0.002192982,0.471898975,0.002192983,0.002192983,0.002192982,0.002192983,0.002192983,0.043859649,0.002192982,0.124546829,0.002192982,0.292754251,0.687383022,0.897590259,9.44E-05,0.525968673,0.330309415,romantic,0.914285714
70361,elvis presley,i'm gonna sit right down and cry (over you),1956,rock,go right go right goodbye go right go go goodbye go right go tell mama tell papa know exactly gonna goodbye go right go go goodbye go right go tell mama papa know exactly gonna goodbye go right go right go right go right,44,0.001283697,0.001283697,0.001283697,0.23783043,0.001283697,0.0537422,0.133112642,0.107301197,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.395226288,0.657749377,0.676281312,0.779116244,3.71E-05,0.805234955,0.648637675,feelings,0.914285714
70364,elvis presley,first in line,1956,rock,give eye like diamonds shame star shine darling darling line give lips like hold thrill time darling darling line know longer pledge hearts stronger stronger refuse choose darling darling line,30,0.002024292,0.002024292,0.188159871,0.157656917,0.002024292,0.002024292,0.42845841,0.002024292,0.002024292,0.002024292,0.002024292,0.116216663,0.002024292,0.081168058,0.002024292,0.002024292,0.294920394,0.596595134,0.948795129,0.003299595,0.156018137,0.136109156,romantic,0.914285714
70368,elvis presley,how's the world treating you,1956,rock,sorrow say tomorrow world treat sweet thing matter break dream shatter world treat plan sunday plan today blue monday away sweet thing matter break ask darling world treat,28,0.001949318,0.001949318,0.359461246,0.001949318,0.001949318,0.001949318,0.154394086,0.246881973,0.001949318,0.039529776,0.0557084,0.001949318,0.001949318,0.001949318,0.118683388,0.001949318,0.42163977,0.481732174,0.959839317,0.00111336,0.248763397,0.056627194,world/life,0.914285714
70370,elvis presley,blue suede shoes,1956,rock,money ready step blue suede shoe stay blue suede shoe knock step face slander place wanna uhuh shoe step blue suede shoe stay blue suede shoe walk burn house steal drink liquor fruit want uhuh shoe step blue suede shoe blue suede shoe yeah money ready step blue suede shoe blue suede shoe blue blue blue suede shoe blue blue blue suede shoe yeah blue blue blue suede shoe baby blue blue blue suede shoe blue suede shoe,78,0.018079781,0.000862813,0.000862813,0.049945662,0.033994981,0.000862813,0.000862813,0.000862813,0.000862813,0.365573867,0.413004853,0.019360906,0.000862813,0.000862813,0.000862813,0.000862813,0.536445359,0.716637182,0.656626161,1.68E-06,0.967023908,0.660650062,music,0.914285714
70371,elvis presley,blue moon,1956,rock,blue moon stand dream heart blue moon know hear say prayer care blue moon stand dream heart blue moon,19,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.146599553,0.002770083,0.305109584,0.002770083,0.352588201,0.002770083,0.002770083,0.154151415,0.002770083,0.386981479,0.328897777,0.955823249,0.454453441,0.239488871,0.100071994,music,0.914285714
70374,elvis presley,love me,1956,rock,treat like fool treat mean cruel wring faithful heart tear apart darling lonely blue cry dear steal steal feel feel heart want heart beat close close darling lonely blue cry dear steal steal feel feel heart want heart beat close close darling lonely beggin knees yeah,46,0.00122399,0.00122399,0.00122399,0.00122399,0.024953961,0.00122399,0.247330989,0.00122399,0.00122399,0.050583537,0.00122399,0.00122399,0.00122399,0.001223991,0.550381642,0.059739509,0.480125636,0.582596211,0.956827266,0,0.150865622,0.110082317,sadness,0.914285714
70380,elvis presley,ready teddy,1956,rock,ready ready ready ready ready ready ready ready ready ready ready ready ready roll go corner pick sweetie roll baby apple cause flat cat dungaree dolls head sock ball joint jump cat go wild music send crazy style cause gonna kick shoe roll fade jeans grab roll baby pour steam shuffle leave shuffle right gonna roll till early early night cause,61,0.0470837,0.001074114,0.001074114,0.327046552,0.001074114,0.001074114,0.001074114,0.001074114,0.223610479,0.001074114,0.133578171,0.001074114,0.001074114,0.001074114,0.001074114,0.056751025,0.592765082,0.684896034,0.53714813,2.69E-06,0.965993405,0.806800773,night/time,0.914285714
